"item_name_updated","period","avg_cost"
"Samosa Chaat","P03-2026",2.1900
"Side of Sauce","P03-2026",
"Side of Veggie","P03-2026",
"That Fire Hot Sauce (Bottle)","P03-2026",3.4100
"Mini Samosas","P03-2026",1.1700
"That Fire Hot Sauce - Side","P03-2026",0.4400
"Naan","P03-2026",0.4900
"Side of Main","P03-2026",
"Side of Grain","P03-2026",
"Masala Chai - Oat Milk","P03-2026",1.9300
"Mango Lassi","P03-2026",1.4100
"Olipop - Lemon Lime","P03-2026",1.8600
"Masala Chai","P03-2026",1.6000
"Icaro - Spearmint Yerba Mate","P03-2026",2.1200
"Iced Oat Masala Chai","P03-2026",1.9200
"Open Water Still Water","P03-2026",1.2100
"Spindrift - Grapefruit","P03-2026",1.0700
"Homemade Juice","P03-2026",
"Maine Root Fountain Soda","P03-2026",0.3600
"Wild Kombucha - Mango Peach","P03-2026",3.2600
"Wild Kombucha - Ginger","P03-2026",3.2600
"Spindrift - Lemon","P03-2026",1.1200
"Blossom Lassi","P03-2026",1.3300
"Spindrift - Lemon","P05-2026",1.1592
"Chicken Tikka Bowl","P03-2026",0.6100
"Spiced Cauli + Quinoa Bowl","P03-2026",0.6100
"Spicy Chili Chicken Bowl","P03-2026",0.6100
"Lamb Kebab Bowl","P03-2026",0.6100
"Paneer Tikka Bowl","P03-2026",0.6100
"Chicken Tikka + Avocado Salad","P03-2026",0.6100
"Butter Chicken Burrito","P03-2026",1.0300
"Tandoori Paneer Burrito","P03-2026",1.0300
"BYO Indian Burrito","P03-2026",1.0300
"Butter Chicken","P03-2026",3.3300
"Chicken Tikka Masala","P03-2026",3.3300
"Saag Paneer","P03-2026",2.7200
"Aloo Gobhi","P03-2026",2.2300
"Paneer Butter Masala","P03-2026",3.5400
"BYO Greens + Grains Bowl","P03-2026",0.6100
"BYO Grain Bowl","P03-2026",0.6100
"BYO Salad Bowl","P03-2026",0.6100
"Sweet Cardamom Yogurt","P03-2026",0.8100
"Masala Chai Cookies","P03-2026",0.3300
"Kids Meal","P03-2026",1.0500
"Rupee Lager","P03-2026",1.9500
"Sixpoint Bengali IPA","P03-2026",1.3500
"Kingfisher","P03-2026",1.5200
"DC Brau Pils","P03-2026",1.5500
"White Claw Ruby Grapefruit","P03-2026",1.4900
"Pabst Blue Ribbon","P03-2026",0.9900
"White Claw Black Cherry","P03-2026",1.4600
"Mango Lassi","P04-2026",1.4100
"Iced Oat Masala Chai","P04-2026",1.9300
"Olipop - Lemon Lime","P04-2026",1.8600
"Blossom Lassi","P04-2026",1.4400
"Wild Kombucha - Ginger","P04-2026",3.2600
"Olipop - Cola","P04-2026",1.8600
"Wild Kombucha - Mango Peach","P04-2026",3.2600
"Masala Chai - Oat Milk","P04-2026",1.9500
"Spindrift - Grapefruit","P04-2026",1.1200
"Masala Chai","P04-2026",1.6000
"Maine Root Fountain Soda","P04-2026",0.3600
"Strawberry Lassi","P04-2026",1.4400
"Icaro - Spearmint Yerba Mate","P04-2026",2.1200
"Handcrafted Juice for a Group - 1/2 Gallon","P04-2026",
"Chicken Tikka Masala","P04-2026",3.4200
"Lamb Kofta Korma","P04-2026",4.1000
"Aloo Gobhi","P04-2026",2.8300
"Paneer Tikka Masala","P04-2026",3.5400
"Pick 2 Combo Plate","P04-2026",0.8000
"Saag Paneer","P04-2026",2.7300
"Paneer Butter Masala","P04-2026",3.5400
